month,PfPR,Cases,Severe_cases,New_infections,Anemia,Mean_density,Gametocyte_prevalence,Pop,agebin,Run_Number,Year
1,0.1298701298701,2.370129823685,0.0,2,71.10389471054,3.737207388878,0.01948051948052,5.133333333333,0.25,2,2023.0
2,0.0669014084507,0.0,0.0,1,42.41197371483,3.380268498471,0.1056338028169,9.466666666667,0.25,2,2023.0
3,0.171686746988,2.198795080185,0.0,2,85.75300812721,3.015627170864,0.03915662650602,11.06666666667,0.25,2,2023.0
4,0.09977827050998,0.0,0.0,6,62.31707340479,3.609218793445,0.1064301552106,15.03333333333,0.25,2,2023.0
5,0.287598944591,5.778364062309,0.0,13,195.5013174415,3.743816342923,0.08970976253298,12.63333333333,0.25,2,2023.0
6,0.5670103092784,2.508591175079,0.0,2,225.7732057571,3.315389855703,0.4536082474227,9.7,0.25,2,2023.0
7,0.3089005235602,0.0,0.0,1,135.6806285381,3.202489563974,0.2879581151832,6.366666666667,0.25,2,2023.0
8,0.1865284974093,1.891191720963,0.0,1,83.21243572235,3.66125540932,0.1243523316062,6.433333333333,0.25,2,2023.0
9,0.1412639405204,2.713754653931,0.0,5,93.62453556061,2.976833961512,0.0817843866171,8.966666666667,0.25,2,2023.0
10,0.3409090909091,5.184659361839,1.036931872368,13,194.9431920052,3.88917820553,0.1079545454545,11.73333333333,0.25,2,2023.0
11,0.6801152737752,4.207492828369,1.051873207092,6,275.5907802582,4.123927528575,0.4956772334294,11.56666666667,0.25,2,2023.0
12,0.6163522012579,2.295597553253,1.147798776627,11,266.2893161774,3.366622320852,0.5251572327044,10.6,0.25,2,2023.0
1,0.1583081570997,3.16112793237,0.0,43,35.21349487454,3.891072883557,0.0281973816717,165.5,5.0,2,2023.0
2,0.2096905537459,0.0,0.0,63,80.40105500817,2.968392919684,0.2601791530945,163.7333333333,5.0,2,2023.0
3,0.4504486133768,5.879893779755,0.07442903518677,108,90.05913257599,3.273610198266,0.1804649265905,163.4666666667,5.0,2,2023.0
4,0.5553047404063,2.247075811028,0.1498050540686,129,179.7660648823,3.559601868247,0.4785553047404,162.4333333333,5.0,2,2023.0
5,0.740192153723,4.529623821378,0.2922337949276,65,200.2532079741,3.458089032129,0.544835868695,166.5333333333,5.0,2,2023.0
6,0.7352354349561,1.16520345211,0.07282521575689,55,170.6294805184,2.859244295021,0.590782122905,167.0666666667,5.0,2,2023.0
7,0.6906243726159,3.00441673398,0.0,62,120.0301124454,2.64965080806,0.4141738606705,166.0333333333,5.0,2,2023.0
8,0.6515273311897,2.934083640575,0.0,82,148.6846884862,2.756609044202,0.3920819935691,165.8666666667,5.0,2,2023.0
9,0.6481707317073,3.412601456046,0.0,88,149.1900332198,3.072186693236,0.4235772357724,164.0,5.0,2,2023.0
10,0.7506162695152,4.048890531063,0.2249383628368,106,181.8251766264,3.175915385637,0.5456039441249,162.2666666667,5.0,2,2023.0
11,0.7908979089791,4.26506768167,0.1496514976025,101,193.5742121488,3.232811561176,0.6059860598606,162.6,5.0,2,2023.0
12,0.8401061874617,2.757810890675,0.2236062884331,72,205.2705727816,3.081163376555,0.6444762099244,163.2333333333,5.0,2,2023.0
1,0.1078506250754,2.274189009331,0.0,154,18.64834987652,3.899828227829,0.01350645174257,829.2333333333,115.0,2,2023.0
2,0.1562097812098,0.0,0.0,714,34.79126455262,3.039772688207,0.1861727799228,828.8,115.0,2,2023.0
3,0.5592176747555,7.946597517468,0.04406615998596,698,101.7340746876,3.719932859623,0.2349792748199,828.3,115.0,2,2023.0
4,0.7638961561682,2.306500285864,0.02938216924667,538,189.4709183872,3.598314350709,0.6705574562286,828.1666666667,115.0,2,2023.0
5,0.8996170126991,2.413223199546,0.04414432682097,175,122.4122182745,3.005537554124,0.6649062688974,826.8333333333,115.0,2,2023.0
6,0.8251528805922,0.9251287328079,0.0,155,68.25394206494,2.380452328464,0.5015288059221,828.5333333333,115.0,2,2023.0
